arxiv id,title,published,author(s),abs link,pdf link,journal ref,comment,abstract
1711.04402v1,Diamondoid Molecules,2017-11-13T03:04:39Z,G. Ali Mansoori,http://arxiv.org/abs/1711.04402v1,http://arxiv.org/pdf/1711.04402v1,"Advances in Chemical Physics Vol. 136, pp. 207-258, 2007","78 pages, 36 figures","In this review paper we introduce at first the cage nature of diamondoid
molecules, the variety of their crystalline lattice structures, the nature of
their structural isomers, their stereoisomers, and their other molecular
specificities. The natural occurrence of diamondoids in petroleum fluids and
how they come to be present in such fluids is introduced. Field experiences of
phase transitions and depositions as well as techniques for separation,
detection and measurement of diamondoids from petroleum fluids is presented and
discussed. It is demonstrated that due to their six or more linking groups
diamondoids have found major applications as templates and as molecular
building blocks in polymers synthesis, nanotechnology, drug delivery, drug
targeting, DNA directed assembly, DNA-amino acid nanostructure formation and in
host-guest chemistry."
1805.05593v1,"Enhancing Drug-Drug Interaction Extraction from Texts by Molecular
  Structure Information",2018-05-15T07:03:21Z,"Masaki Asada, Makoto Miwa, Yutaka Sasaki",http://arxiv.org/abs/1805.05593v1,http://arxiv.org/pdf/1805.05593v1,No journal ref found,accepted as a short paper at ACL2018,"We propose a novel neural method to extract drug-drug interactions (DDIs)
from texts using external drug molecular structure information. We encode
textual drug pairs with convolutional neural networks and their molecular pairs
with graph convolutional networks (GCNs), and then we concatenate the outputs
of these two networks. In the experiments, we show that GCNs can predict DDIs
from the molecular structures of drugs in high accuracy and the molecular
information can enhance text-based DDI extraction by 2.39 percent points in the
F-score on the DDIExtraction 2013 shared task data set."
2012.11599v1,"BERTChem-DDI : Improved Drug-Drug Interaction Prediction from text using
  Chemical Structure Information",2020-12-21T07:13:52Z,Ishani Mondal,http://arxiv.org/abs/2012.11599v1,http://arxiv.org/pdf/2012.11599v1,No journal ref found,arXiv admin note: substantial text overlap with arXiv:2012.11142,"Traditional biomedical version of embeddings obtained from pre-trained
language models have recently shown state-of-the-art results for relation
extraction (RE) tasks in the medical domain. In this paper, we explore how to
incorporate domain knowledge, available in the form of molecular structure of
drugs, for predicting Drug-Drug Interaction from textual corpus. We propose a
method, BERTChem-DDI, to efficiently combine drug embeddings obtained from the
rich chemical structure of drugs along with off-the-shelf domain-specific
BioBERT embedding-based RE architecture. Experiments conducted on the
DDIExtraction 2013 corpus clearly indicate that this strategy improves other
strong baselines architectures by 3.4\% macro F1-score."
2308.13891v1,Drug Interaction Vectors Neural Network: DrIVeNN,2023-08-26T14:24:41Z,"Natalie Wang, Casey Overby Taylor",http://arxiv.org/abs/2308.13891v1,http://arxiv.org/pdf/2308.13891v1,No journal ref found,"8 pages, 3 figures","Polypharmacy, the concurrent use of multiple drugs to treat a single
condition, is common in patients managing multiple or complex conditions.
However, as more drugs are added to the treatment plan, the risk of adverse
drug events (ADEs) rises rapidly. Many serious ADEs associated with
polypharmacy only become known after the drugs are in use. It is impractical to
test every possible drug combination during clinical trials. This issue is
particularly prevalent among older adults with cardiovascular disease (CVD)
where polypharmacy and ADEs are commonly observed. In this research, our
primary objective was to identify key drug features to build and evaluate a
model for modeling polypharmacy ADEs. Our secondary objective was to assess our
model on a domain-specific case study. We developed a two-layer neural network
that incorporated drug features such as molecular structure, drug-protein
interactions, and mono drug side effects (DrIVeNN). We assessed DrIVeNN using
publicly available side effect databases and determined Principal Component
Analysis (PCA) with a variance threshold of 0.95 as the most effective feature
selection method. DrIVeNN performed moderately better than state-of-the-art
models like RESCAL, DEDICOM, DeepWalk, Decagon, DeepDDI, KGDDI, and KGNN in
terms of AUROC for the drug-drug interaction prediction task. We also conducted
a domain-specific case study centered on the treatment of cardiovascular
disease (CVD). When the best performing model architecture was applied to the
CVD treatment cohort, there was a significant increase in performance from the
general model. We observed an average AUROC for CVD drug pair prediction
increasing from 0.826 (general model) to 0.975 (CVD specific model). Our
findings indicate the strong potential of domain-specific models for improving
the accuracy of drug-drug interaction predictions."
2006.14002v1,Bi-Level Graph Neural Networks for Drug-Drug Interaction Prediction,2020-06-11T04:49:26Z,"Yunsheng Bai, Ken Gu, Yizhou Sun, Wei Wang",http://arxiv.org/abs/2006.14002v1,http://arxiv.org/pdf/2006.14002v1,No journal ref found,No comment found,"We introduce Bi-GNN for modeling biological link prediction tasks such as
drug-drug interaction (DDI) and protein-protein interaction (PPI). Taking
drug-drug interaction as an example, existing methods using machine learning
either only utilize the link structure between drugs without using the graph
representation of each drug molecule, or only leverage the individual drug
compound structures without using graph structure for the higher-level DDI
graph. The key idea of our method is to fundamentally view the data as a
bi-level graph, where the highest level graph represents the interaction
between biological entities (interaction graph), and each biological entity
itself is further expanded to its intrinsic graph representation
(representation graphs), where the graph is either flat like a drug compound or
hierarchical like a protein with amino acid level graph, secondary structure,
tertiary structure, etc. Our model not only allows the usage of information
from both the high-level interaction graph and the low-level representation
graphs, but also offers a baseline for future research opportunities to address
the bi-level nature of the data."
1511.04431v1,Optical Properties of Drug Metabolites in Latent Fingermarks,2015-10-08T09:05:44Z,"Yao Shen, Qing Ai",http://arxiv.org/abs/1511.04431v1,http://arxiv.org/pdf/1511.04431v1,"Scientific Reports 6, 20336 (2016)","11 pages, 5 figures","Drug metabolites usually have structures of split-ring resonators (SRRs),
which might lead to negative permittivity and permeability in electromagnetic
field. As a result, in the UV-vis region, the latent fingermarks images of drug
addicts and non drug users are inverse. The optical properties of latent
fingermarks are quite different between drug addicts and non-drug users. This
is a technic superiority for crime scene investigation to distinguish them. In
this paper, we calculate the permittivity and permeability of drug metabolites
using tight-binding model. The latent fingermarks of smokers and non-smokers
are given as an example."
1904.00313v1,"Modeling Drug-Disease Relations with Linguistic and Knowledge Graph
  Constraints",2019-03-31T00:48:42Z,"Bruno Godefroy, Christopher Potts",http://arxiv.org/abs/1904.00313v1,http://arxiv.org/pdf/1904.00313v1,No journal ref found,No comment found,"FDA drug labels are rich sources of information about drugs and drug-disease
relations, but their complexity makes them challenging texts to analyze in
isolation. To overcome this, we situate these labels in two health knowledge
graphs: one built from precise structured information about drugs and diseases,
and another built entirely from a database of clinical narrative texts using
simple heuristic methods. We show that Probabilistic Soft Logic models defined
over these graphs are superior to text-only and relation-only variants, and
that the clinical narratives graph delivers exceptional results with little
manual effort. Finally, we release a new dataset of drug labels with
annotations for five distinct drug-disease relations."
2405.14545v1,A Cross-Field Fusion Strategy for Drug-Target Interaction Prediction,2024-05-23T13:25:20Z,"Hongzhi Zhang, Xiuwen Gong, Shirui Pan, Jia Wu, Bo Du, Wenbin Hu",http://arxiv.org/abs/2405.14545v1,http://arxiv.org/pdf/2405.14545v1,No journal ref found,No comment found,"Drug-target interaction (DTI) prediction is a critical component of the drug
discovery process. In the drug development engineering field, predicting novel
drug-target interactions is extremely crucial.However, although existing
methods have achieved high accuracy levels in predicting known drugs and drug
targets, they fail to utilize global protein information during DTI prediction.
This leads to an inability to effectively predict interaction the interactions
between novel drugs and their targets. As a result, the cross-field information
fusion strategy is employed to acquire local and global protein information.
Thus, we propose the siamese drug-target interaction SiamDTI prediction method,
which utilizes a double channel network structure for cross-field supervised
learning.Experimental results on three benchmark datasets demonstrate that
SiamDTI achieves higher accuracy levels than other state-of-the-art (SOTA)
methods on novel drugs and targets.Additionally, SiamDTI's performance with
known drugs and targets is comparable to that of SOTA approachs. The code is
available at https://anonymous.4open.science/r/DDDTI-434D."
2506.01478v1,"MUDI: A Multimodal Biomedical Dataset for Understanding Pharmacodynamic
  Drug-Drug Interactions",2025-06-02T09:36:08Z,"Tung-Lam Ngo, Ba-Hoang Tran, Duy-Cat Can, Trung-Hieu Do, Oliver Y. Chén, Hoang-Quynh Le",http://arxiv.org/abs/2506.01478v1,http://arxiv.org/pdf/2506.01478v1,No journal ref found,No comment found,"Understanding the interaction between different drugs (drug-drug interaction
or DDI) is critical for ensuring patient safety and optimizing therapeutic
outcomes. Existing DDI datasets primarily focus on textual information,
overlooking multimodal data that reflect complex drug mechanisms. In this
paper, we (1) introduce MUDI, a large-scale Multimodal biomedical dataset for
Understanding pharmacodynamic Drug-drug Interactions, and (2) benchmark
learning methods to study it. In brief, MUDI provides a comprehensive
multimodal representation of drugs by combining pharmacological text, chemical
formulas, molecular structure graphs, and images across 310,532 annotated drug
pairs labeled as Synergism, Antagonism, or New Effect. Crucially, to
effectively evaluate machine-learning based generalization, MUDI consists of
unseen drug pairs in the test set. We evaluate benchmark models using both late
fusion voting and intermediate fusion strategies. All data, annotations,
evaluation scripts, and baselines are released under an open research license."
2110.11523v1,"NMR crystallography reveals carbonate induced Al-ordering in ZnAl
  layered double hydroxide",2021-10-21T23:39:56Z,"Sambhu Radhakrishnan, Karl Lauwers, C. Vinod Chandran, Julien Trebosc, Johan A. Martens, Francis Taulelle, Christine E. A. Kirschhock, Eric Breynaert",http://arxiv.org/abs/2110.11523v1,http://arxiv.org/pdf/2110.11523v1,No journal ref found,No comment found,"Layered double hydroxides (LDHs) serve a score of applications in catalysis,
drug delivery, and environmental remediation. Smarter crystallography,
combining X-ray diffraction and NMR spectroscopy revealed how interplay between
carbonate and pH determines the LDH structure and Al ordering in ZnAl LDH.
Carbonate intercalated ZnAl LDHs were synthesized at different pH (pH 8.5, pH
10.0, pH 12.5) with a Zn/Al ratio of 2, without subsequent hydrothermal
treatment to avoid extensive recrystallisation. In ideal configuration, all Al
cations should be part of the LDH and be coordinated with 6 Zn atoms, but NMR
revealed two different Al local environments were present in all samples in a
ratio dependent on synthesis pH. NMR-crystallography, integrating NMR
spectroscopy and X-ray diffraction, succeeded to identify them as Al residing
in the highly ordered crystalline phase, next to Al in disordered material.
With increasing synthesis pH, crystallinity increased, and the side phase
fraction decreased. Using 1 H-13 C, 13 C-27 Al HETCOR NMR in combination with
27 Al MQMAS, 27 Al-DQ-SQ measurements and Rietveld refinement on
high-resolution PXRD data, the extreme anion exchange selectivity of these LDHs
for CO3 2-over HCO3-was linked to strict Al and CO3 2-ordering in the
crystalline LDH. Even upon equilibration of the LDH in pure NaHCO3 solutions,
only CO3 2-was adsorbed by the LDH. This reveals the structure directing role
of bivalent cations such as CO3 2-during crystallization of [M 2+ 4M 3+ 2(OH)2]
2+ [A 2-]1.yH2O LDH phases."
2005.10644v1,"A Minimal-Input Multilayer Perceptron for Predicting Drug-Drug
  Interactions Without Knowledge of Drug Structure",2020-05-20T17:15:19Z,"Alun Stokes, William Hum, Jonathan Zaslavsky",http://arxiv.org/abs/2005.10644v1,http://arxiv.org/pdf/2005.10644v1,No journal ref found,No comment found,"The necessity of predictive models in the drug discovery industry cannot be
understated. With the sheer volume of potentially useful compounds that are
considered for use, it is becoming increasingly computationally difficult to
investigate the overlapping interactions between drugs. Understanding this is
also important to the layperson who needs to know what they can and cannot mix,
especially for those who use recreational drugs - which do not have the same
rigorous warnings as prescription drugs. Without access to deterministic,
experimental results for every drug combination, other methods are necessary to
bridge this knowledge gap. Ideally, such a method would require minimal inputs,
have high accuracy, and be computationally feasible. We have not come across a
model that meets all these criteria. To this end, we propose a minimal-input
multi-layer perceptron that predicts the interactions between two drugs. This
model has a great advantage of requiring no structural knowledge of the
molecules in question, and instead only uses experimentally accessible chemical
and physical properties - 20 per compound in total. Using a set of known
drug-drug interactions, and associated properties of the drugs involved, we
trained our model on a dataset of about 650,000 entries. We report an accuracy
of 0.968 on unseen samples of interactions between drugs on which the model was
trained, and an accuracy of 0.942 on unseen samples of interactions between
unseen drugs. We believe this to be a promising and highly extensible model
that has potential for high generalized predictive accuracy with further
tuning."
2307.01507v2,"Relation-aware graph structure embedding with co-contrastive learning
  for drug-drug interaction prediction",2023-07-04T06:41:50Z,"Mengying Jiang, Guizhong Liu, Biao Zhao, Yuanchao Su, Weiqiang Jin",http://arxiv.org/abs/2307.01507v2,http://arxiv.org/pdf/2307.01507v2,No journal ref found,"14pages, 23figures","Relation-aware graph structure embedding is promising for predicting
multi-relational drug-drug interactions (DDIs). Typically, most existing
methods begin by constructing a multi-relational DDI graph and then learning
relation-aware graph structure embeddings (RaGSEs) of drugs from the DDI graph.
Nevertheless, most existing approaches are usually limited in learning RaGSEs
of new drugs, leading to serious over-fitting when the test DDIs involve such
drugs. To alleviate this issue, we propose a novel DDI prediction method based
on relation-aware graph structure embedding with co-contrastive learning,
RaGSECo. The proposed RaGSECo constructs two heterogeneous drug graphs: a
multi-relational DDI graph and a multi-attribute drug-drug similarity (DDS)
graph. The two graphs are used respectively for learning and propagating the
RaGSEs of drugs, aiming to ensure all drugs, including new ones, can possess
effective RaGSEs. Additionally, we present a novel co-contrastive learning
module to learn drug-pairs (DPs) representations. This mechanism learns DP
representations from two distinct views (interaction and similarity views) and
encourages these views to supervise each other collaboratively to obtain more
discriminative DP representations. We evaluate the effectiveness of our RaGSECo
on three different tasks using two real datasets. The experimental results
demonstrate that RaGSECo outperforms existing state-of-the-art prediction
methods."
1905.06237v1,Implementation of functions in R tool in parallel environment,2019-05-08T11:12:37Z,Antonios Makris,http://arxiv.org/abs/1905.06237v1,http://arxiv.org/pdf/1905.06237v1,No journal ref found,No comment found,"Drug promiscuity and polypharmacology are much discussed topics in
pharmaceutical research. Drug repositioning applies established drugs to new
disease indications with increasing success. As polypharmacology, defined a
drug's ability to bind to several targets but due to possible side effects,
this feature is not taken into consideration. Thus, the pharmaceutical industry
focused on the development of highly selective single-target drugs. Nowadays
after lot of researches, it is clear that polypharmacology is important for the
efficacy of drugs. There are side effects but on the other hand, this gives the
opportunity to uncover new uses for already known drugs and especially for
complex diseases. Thus, it is clear that there are two sides of the same coin.
There are several approaches to discover new drugs targets, as analysis of
genome wide association, gene expression data and networks, structural
approaches with alignment methods etc. Computational drug discovery and design
has experienced a rapid increase in development which is mainly due to the
increasing cost for discovering new compounds. Since drug development is a very
costly venture, the pharmaceutical industry puts effort in the repositioning of
withdrawn or already approved drugs. The costs for bringing such a drug to
market are 60% lower than the development of a novel drug, which costs roughly
one billion US dollars. Thus, target prediction, drug repositioning approaches,
protein-ligand docking and scoring algorithms, virtual screening and other
computational techniques have gained the interest of researchers and
pharmaceutical companies."
2107.06773v2,"Relational graph convolutional networks for predicting blood-brain
  barrier penetration of drug molecules",2021-07-04T15:56:02Z,"Yan Ding, Xiaoqian Jiang, Yejin Kim",http://arxiv.org/abs/2107.06773v2,http://arxiv.org/pdf/2107.06773v2,No journal ref found,No comment found,"Evaluating the blood-brain barrier (BBB) permeability of drug molecules is a
critical step in brain drug development. Traditional methods for the evaluation
require complicated in vitro or in vivo testing. Alternatively, in silico
predictions based on machine learning have proved to be a cost-efficient way to
complement the in vitro and in vivo methods. However, the performance of the
established models has been limited by their incapability of dealing with the
interactions between drugs and proteins, which play an important role in the
mechanism behind the BBB penetrating behaviors. To address this limitation, we
employed the relational graph convolutional network (RGCN) to handle the
drug-protein interactions as well as the properties of each individual drug.
The RGCN model achieved an overall accuracy of 0.872, an AUROC of 0.919 and an
AUPRC of 0.838 for the testing dataset with the drug-protein interactions and
the Mordred descriptors as the input. Introducing drug-drug similarity to
connect structurally similar drugs in the data graph further improved the
testing results, giving an overall accuracy of 0.876, an AUROC of 0.926 and an
AUPRC of 0.865. In particular, the RGCN model was found to greatly outperform
the LightGBM base model when evaluated with the drugs whose BBB penetration was
dependent on drug-protein interactions. Our model is expected to provide
high-confidence predictions of BBB permeability for drug prioritization in the
experimental screening of BBB-penetrating drugs."
